Name,Isin,YahooTicker,Market,Net_Income_2021,FCF_2021,Op_Margin_2021,ROE_2021,Debt_Equity_2021,PER_2021,ROIC_2021,Net_Margin_2021,EPS_2021,Perf_2021,Price_per_share_2021,Net_Income_2022,FCF_2022,Op_Margin_2022,ROE_2022,Debt_Equity_2022,PER_2022,ROIC_2022,Net_Margin_2022,EPS_2022,Perf_2022,Price_per_share_2022,Net_Income_2023,FCF_2023,Op_Margin_2023,ROE_2023,Debt_Equity_2023,PER_2023,ROIC_2023,Net_Margin_2023,EPS_2023,Perf_2023,Price_per_share_2023,Net_Income_2024,FCF_2024,Op_Margin_2024,ROE_2024,Debt_Equity_2024,PER_2024,ROIC_2024,Net_Margin_2024,EPS_2024,Perf_2024,Price_per_share_2024,Price_per_share_2025
DURR,DE0005565204,DUE.DE,Trading After Hours,83045000.0,177997000.0,0.05,0.08,0.93,28.41,0.06394094218,0.02348115428,1.16,0.2008029047,35.5125,131027000.0,162943000.0,0.05,0.12,0.81,14.08,0.0799671568,0.03037204345,1.81,-0.2089832706,29.704,111981000.0,170734000.0,0.04,0.1,1.31,16.97,0.03993081165,0.02668737513,1.55,-0.3183195971,19.75875,101524000.0,230412000.0,0.04,0.08,1.09,14.55,0.04182481837,0.02366010586,1.41,0.03285147107,21.432,20.494999999999997
Hella KGaA,DE000A13SX22,HLE.DE,Euronext Global Equity Market,358276000.0,53209000.0,0.05,0.15,0.45,16.2,0.1108985304,0.05615845426,3.22,0.2209432679,58.23075,181261000.0,-288013000.0,0.03,0.07,0.44,38.63,0.05359076328,0.0286528055,1.63,0.2299480532,72.70275000000001,263919000.0,190509000.0,0.05,0.09,0.43,30.29,0.07943002659,0.03318007564,2.38,0.1161282384,80.94425,353104000.0,173784000.0,0.04,0.11,0.3,26.43,0.1069092735,0.04400163892,3.18,0.08605139764,87.8505,81.475
MG INTERNATIONAL,FR0010204453,ALMGI.PA,Euronext Growth Paris,6175850.0,9455000.0,0.09,0.25,0.05,7.22,0.2429469759,0.07567526714,1.2,1.610619649,10.55575,6651814.0,-15876000.0,0.09,0.22,0.11,7.05,0.1945796162,0.08025305756,1.29,-0.3864407011,6.434749999999999,3947562.0,5833000.0,0.06,0.12,0.09,7.77,0.1145092789,0.05602497845,0.77,-0.1664292356,5.091,1384084.0,3174000.0,0.02,0.04,0.06,18.0,0.03205300433,0.02321155392,0.268231,-0.2385435176,4.300000000000001,2.5900000000000003
BASIC-FIT,NL0011872650,BFIT.AS,Trading After Hours,-150048000.0,-103480000.0,-0.44,-0.37,4.68,-15.96,-0.1047751411,-0.4403514641,-2.34,0.4046822922,40.195,-3687000.0,93466000.0,0.08,-0.01,5.47,-599.78,0.03809914346,-0.004640239828,-0.06,-0.4312267885,23.82,-2700000.0,157800000.0,0.11,-0.01,6.27,-781.69,0.04889774859,-0.002578304049,-0.04,0.1121643044,27.924999999999997,8000000.0,246900000.0,0.13,0.02,6.86,189.93,0.05140887172,0.006583278473,0.12,-0.1649408595,21.715,28.335
JACQUES BOGART,FR0012872141,JBOG.PA,Euronext Paris,754000.0,31673000.0,-0.04,0.01,2.33,191.06,0.02351356192,0.003057223603,0.0509,0.2686135062,10.338,-10433000.0,13455000.0,-0.04,-0.12,2.4,-13.53,-0.03099373138,-0.03571453023,-0.7085,-0.2009394386,8.671,3780000.0,10695000.0,-0.01,0.04,2.28,27.37,0.05803307156,0.012881416,0.2576,-0.2752131081,6.08675,-441000.0,26390000.0,0.0,-0.01,2.59,-223.44,0.04955859382,-0.001522500906,-0.0281,-0.1056481206,5.6530000000000005,4.445
FACEPHI,ES0105029005,FACE.MC,Euronext Growth Paris,-553904.0,-6154848.0,-0.03,-0.06,0.71,-118.3,-0.02015046538,-0.04208413027,-0.036867,-0.207661283,4.14,1106667.0,-7883669.0,0.12,0.07,0.51,42.67,0.04364113406,0.04966398733,0.064052,-0.381188113,2.4325,-4309547.0,-9008609.0,-0.16,-0.22,0.58,-12.91,-0.1034013567,-0.1713334291,-0.203943,-0.2307692026,2.27,-8884362.0,-4526810.0,-0.21,-0.46,0.53,-4.9,-0.1488411472,-0.3076795579,-0.365842,-0.2304147934,1.63125,2.4225
INTEGRATED WIND SO,NO0013461350,IWS.OL,Oslo Børs,-1793229.304,-11721872.38,-0.29,-0.03,0.03,-301.01,-0.01624141181,-0.3654579958,-0.129161,-0.07648653597,33.4025,-2649000.0,-49932000.0,-0.13,-0.03,0.02,-345.5,-0.01668892893,-0.1241098201,-0.1,-0.002898506496,33.9,-1299000.0,-49753000.0,-0.16,-0.01,0.25,-1246.67,-0.005626828719,-0.05747787611,-0.03,0.25581392,45.849999999999994,4285000.0,-133740000.0,0.09,0.03,0.75,435.27,0.04424254542,0.07689960877,0.11,0.1064814443,47.05,45.74625
Lenzing AG,AT0000644505,LNZ.VI,Euronext Global Equity Market,139096000.0,-450303000.0,0.09,0.07,1.05,24.87,0.07449509755,0.06338033303,3.639529,0.4698796019,97.38375,-44336000.0,-742140000.0,0.0,-0.03,1.19,-25.27,0.009956389251,-0.01728032827,-2.75,-0.5201941277,52.056,-620695000.0,-107511000.0,-0.18,-0.43,1.32,-2.36,-0.2474420051,-0.2461935286,-20.02,-0.3042152634,35.662499999999994,-127851000.0,166168000.0,0.03,-0.1,1.4,-7.83,0.06995337549,-0.04799395472,-4.06,-0.1725105544,29.375,23.1375
COFLE,IT0005465619,CFL.MI,Euronext Growth Milan,8242304.0,2326755.0,0.19,0.33,0.45,9.22,0.2716765578,0.1530534409,1.5253,-0.08764054268,14.23925,2288040.0,-1917984.0,0.15,0.08,0.71,37.75,0.1192300836,0.04034783244,0.371677,-0.1583281948,12.14275,359676.0,-3958138.0,0.11,0.01,0.87,178.58,0.1088724602,0.005771735682,0.058521,-0.3644742597,7.713,-5295773.0,-8055680.0,0.0,-0.22,0.92,-6.42,0.03562016378,-0.0873889213,-0.874798,-0.4635896007,3.945,3.115
CEGEDIM,FR0000053506,ALCGM.PA,Euronext Growth Paris,26224000.0,45231000.0,0.07,0.11,0.37,12.99,0.1481145342,0.04997817838,1.9,-0.06250003807,22.57975,13624000.0,10340000.0,0.03,0.05,0.32,20.59,0.0691237682,0.02453850712,1.0,-0.4024378091,14.485,-7407000.0,22433000.0,0.04,-0.03,0.34,-38.0,0.05388974382,-0.01202444825,-0.5,0.1906667074,18.045,-14708000.0,11932000.0,0.04,-0.06,0.35,-12.54,0.02326762449,-0.02247225346,-1.1,-0.2820946038,12.5125,13.2625
