Name,ISIN,Sector,Market,Currency,Industry
2CRSI,FR0013341781,Technology,Euronext Growth Paris,EUR,Computer Hardware
4AIM SICAF,IT0005204729,Real Estate,Euronext Growth Milan,EUR,REIT - Specialty
4AIM SICAF COMP 2,IT0005440323,,Euronext Growth Milan,EUR,
5TH PLANET GAMES,DK0060945467,Communication Services,Euronext Expand Oslo,NOK,Electronic Gaming & Multimedia
74SOFTWARE,FR0011040500,Technology,Euronext Paris,EUR,Software - Application
A.B.P. NOCIVELLI,IT0005439861,Energy,Euronext Growth Milan,EUR,Oil & Gas Refining & Marketing
A2A,IT0001233417,Utilities,Euronext Milan,EUR,Utilities - Diversified
AAK AB,SE0011337708,Consumer Defensive,Euronext Global Equity Market,EUR,Packaged Foods
AALBERTS NV,NL0000852564,Industrials,Euronext Amsterdam,EUR,Specialty Industrial Machinery
AASEN SPAREBANK,NO0010672181,Financial Services,Euronext Growth Oslo,NOK,Banks - Regional
AATECH,IT0005548521,Technology,Euronext Growth Milan,EUR,Software - Infrastructure
AB INBEV,BE0974293251,Consumer Defensive,Euronext Brussels,EUR,Beverages - Brewers
AB SCIENCE,FR0010557264,Healthcare,Euronext Paris,EUR,Drug Manufacturers - Specialty & Generic
ABB Ltd,CH0012221716,Industrials,Euronext Global Equity Market,EUR,Electrical Equipment & Parts
ABC ARBITRAGE,FR0004040608,Financial Services,Euronext Paris,EUR,Asset Management
ABC COMPANY,IT0005466294,Financial Services,Euronext Growth Milan,EUR,Asset Management
ABEO,FR0013185857,Consumer Cyclical,Euronext Paris,EUR,Leisure
ABG SUNDAL COLLIER,NO0003021909,Financial Services,Oslo Børs,NOK,Capital Markets
ABIONYX PHARMA,FR0012616852,Healthcare,Euronext Paris,EUR,Biotechnology
ABITARE IN,IT0005445280,Real Estate,Euronext Milan,EUR,Real Estate - Development
ABIVAX,FR0012333284,Healthcare,Euronext Paris,EUR,Biotechnology
ABL Diagnostics,FR001400AHX6,Healthcare,Euronext Paris,EUR,Health Information Services
ABL GROUP,NO0010715394,,Oslo Børs,NOK,
ABN AMRO BANK N.V.,NL0011540547,Financial Services,Euronext Amsterdam,EUR,Banks - Diversified
