Name,Isin,YahooTicker,Market,Net_Income_2021,FCF_2021,Op_Margin_2021,ROE_2021,Debt_Equity_2021,PER_2021,ROIC_2021,Net_Margin_2021,EPS_2021,Perf_2021,Price_per_share_2021,Net_Income_2022,FCF_2022,Op_Margin_2022,ROE_2022,Debt_Equity_2022,PER_2022,ROIC_2022,Net_Margin_2022,EPS_2022,Perf_2022,Price_per_share_2022,Net_Income_2023,FCF_2023,Op_Margin_2023,ROE_2023,Debt_Equity_2023,PER_2023,ROIC_2023,Net_Margin_2023,EPS_2023,Perf_2023,Price_per_share_2023,Net_Income_2024,FCF_2024,Op_Margin_2024,ROE_2024,Debt_Equity_2024,PER_2024,ROIC_2024,Net_Margin_2024,EPS_2024,Perf_2024,Price_per_share_2024,Price_per_share_2025
74SOFTWARE,FR0011040500,74SW.PA,Euronext Paris,9602000.0,10116000.0,0.04,0.03,0.26,69.92,0.0240638529,0.03362657066,0.381385,-0.01349840781,25.858999999999998,-40045000.0,10642000.0,-0.17,-0.12,0.36,-10.69,-0.09185761464,-0.1275192577,-1.640843,-0.3658757122,15.9495,35828000.0,29720000.0,0.15,0.1,0.34,14.98,0.09153307575,0.1123219302,1.472324,0.593820544,26.275,39167000.0,19765000.0,0.14,0.07,0.65,15.86,0.06191250029,0.08479944921,1.62,0.05747126353,27.275,38.824999999999996
A2A,IT0001233417,A2A.MI,Euronext Milan,504000000.0,61000000.0,0.06,0.13,1.35,8.21,0.07121016482,0.0442532268,0.1639,0.3535787295,1.3987500000000002,401000000.0,20000000.0,0.03,0.1,1.77,8.98,0.04355955197,0.01739545376,0.1281,-0.2381629246,1.09225,659000000.0,-336000000.0,0.07,0.16,1.5,6.94,0.07881662757,0.04504442925,0.2101,0.5535372983,1.7354999999999998,864000000.0,-373000000.0,0.11,0.16,1.34,6.55,0.08180974354,0.06838148002,0.275782,0.2193130039,2.0615,2.30925
AAK AB,SE0011337708,AAK.ST,Euronext Global Equity Market,1437000000.0,-111000000.0,0.06,0.12,0.39,32.02,0.09649892867,0.04053367934,5.58,0.1836838441,181.79225000000002,1770000000.0,-1299000000.0,0.05,0.12,0.48,23.49,0.08969626152,0.03510163609,6.84,-0.08314251405,169.54250000000002,2946000000.0,4069000000.0,0.09,0.17,0.26,16.92,0.152410801,0.06400451899,11.35,0.2762409386,215.65375,3536000000.0,1107000000.0,0.11,0.18,0.18,20.51,0.1610170153,0.07848708159,13.57,0.4169900574,307.056,265.2
AALBERTS NV,NL0000852564,AALB.AS,Euronext Amsterdam,360100000.0,134900000.0,0.12,0.17,0.26,12.64,0.1500613696,0.1208754322,3.25,0.591668963,48.291,317300000.0,45300000.0,0.12,0.14,0.38,13.27,0.1121869853,0.09823529412,2.86,-0.339532582,33.86775,315800000.0,257500000.0,0.13,0.13,0.29,12.8,0.1155760024,0.09500601685,2.85,0.09373138283,36.513,179100000.0,169800000.0,0.1,0.07,0.27,22.55,0.06906332341,0.05688242393,1.62,-0.1010888065,33.757,28.21
AB INBEV,BE0974293251,ABI.BR,Euronext Brussels,4670000000.0,9159000000.0,0.26,0.07,1.29,22.55,0.05926657503,0.08599734826,2.28,-0.0626952344,49.72825,5969000000.0,8138000000.0,0.25,0.08,1.09,17.27,0.0734841181,0.1032949157,2.91,0.01753958547,53.845000000000006,5341000000.0,8627000000.0,0.24,0.07,0.96,19.83,0.06560558737,0.0899461098,2.65,0.04009382796,56.268,5855000000.0,11192000000.0,0.25,0.07,0.92,18.78,0.06989787367,0.0979621202,2.92,-0.1667981399,48.6045,53.839999999999996
AB SCIENCE,FR0010557264,AB.PA,Euronext Paris,-14463000.0,-17742000.0,-8.59,0.62,-0.36,-45.23,0.6061808118,-9.0,-0.3,-0.3617021018,11.81,-13615000.0,-18115000.0,-16.64,0.38,-0.67,-30.49,0.6809372798,-14.21189979,-0.29,-0.4226384115,6.95,-11985000.0,-17216000.0,-13.84,0.57,-0.91,-18.38,3.777067519,-12.3556701,-0.24,-0.5126799137,3.455,-7831000.0,370000.0,-5.67,0.33,-0.78,-11.2,0.7044575273,-7.305037313,-0.15,-0.7603260834,0.88075,1.2235
ABB Ltd,CH0012221716,ABBN.SW,Euronext Global Equity Market,4546000000.0,2510000000.0,0.11,0.29,0.42,11.87,0.2294686701,0.1570564864,2.25,0.4323281165,29.94325,2475000000.0,525000000.0,0.12,0.19,0.67,20.05,0.1338550337,0.08405216328,1.3,-0.1479900391,26.503750000000004,3745000000.0,3520000000.0,0.14,0.28,0.65,15.58,0.1916128364,0.1161780673,2.01,0.3355003996,35.6255,3935000000.0,3830000000.0,0.16,0.27,0.54,21.1,0.1880195158,0.1197869102,2.13,0.3867082636,49.532250000000005,58.32
ABEO,FR0013185857,ABEO.PA,Euronext Paris,-611000.0,15291000.0,0.05,-0.01,1.71,-154.18,0.01512925122,-0.003512059412,-0.081313,0.425101264,14.46825,7199000.0,21118000.0,0.07,0.07,1.39,17.03,0.04737682929,0.03506370792,0.958051,0.1037632364,17.6545,6728000.0,4561000.0,0.07,0.06,1.09,18.01,0.04756354878,0.02823462266,0.891917,-0.2068390695,14.116,1699000.0,9478000.0,0.07,0.02,0.99,48.38,0.06077400318,0.006840049921,0.225233,-0.267814149,10.06725,8.54
ABIONYX PHARMA,FR0012616852,ABNX.PA,Euronext Paris,-5822000.0,-6858000.0,-8.69,-0.55,0.46,-5.55,-0.4478163753,-8.625185185,-0.23,1.531055778,2.50625,-4206000.0,-3534000.0,-0.76,-0.59,0.56,-12.95,-0.4567493113,-0.8008377761,-0.15,-0.3125748806,1.7774999999999999,-3518000.0,-3828000.0,-0.68,-0.44,0.43,-13.85,-0.3671948788,-0.7581896552,-0.108724,-0.2820513008,1.3005000000000002,-4381000.0,-3710000.0,-0.95,-0.58,0.37,-9.49,-0.5034770515,-0.9626455724,-0.127095,-0.07031243452,1.2535,3.7562499999999996
ABITARE IN,IT0005445280,ABT.MI,Euronext Milan,12191758.0,-46722518.0,0.32,0.17,1.23,12.29,0.0864475036,0.2238430726,0.47,0.7122155349,7.398999999999999,7892419.0,-51131851.0,0.59,0.09,1.61,20.01,0.04326455929,0.3089520646,0.290159,-0.3033980409,5.552,24289540.0,93748140.0,0.13,0.23,0.8,5.84,0.1816860177,0.09622903098,0.878615,-0.1093530885,5.22,5781382.0,-25689659.0,0.59,0.05,1.05,21.7,0.0422643856,0.2187665372,0.2,-0.149494909,4.205,2.9337500000000003
